car	year	price	dealer
2023 Mazda CX-30 2.5 Turbo Premium Package	2023	36205	Nucar Mazda of New Castle
2023 Mazda CX-30 Premium Package	2023	33885	Pacifico Mazda
2023 Mazda CX-30 Premium Package	2023	32875	Maple Shade Mazda
2023 Mazda CX-30 Premium Package	2023	33200	Mazda of Abington
2023 Mazda CX-30 2.5 S Premium Package	2023	33540	Piazza Mazda of West Chester
2023 Mazda CX-30 2.5 S Premium Package	2023	33470	Piazza Mazda of West Chester
2023 Mazda CX-30 Premium Package	2023	33345	North Penn Mazda
2023 Mazda CX-30 Premium Package	2023	32670	North Penn Mazda
2023 Mazda CX-30 Premium Package	2023	33030	Nucar Mazda of New Castle
2023 Mazda CX-30 Premium Package	2023	33185	Nucar Mazda of New Castle
2023 Mazda CX-30 Premium Package	2023	33215	Hamilton Mazda
2023 Mazda CX-30 Premium Package	2023	33945	Martin Mazda
2023 Mazda CX-30 Premium Package	2023	33625	Martin Mazda
2023 Mazda CX-30 Premium Package	2023	33675	Martin Mazda
2023 Mazda CX-30 Premium Package	2023	32875	Martin Mazda
2023 Mazda CX-30 Premium Package	2023	33185	Scott Mazda
2023 Mazda CX-30 Premium Package	2023	33230	Scott Mazda
2023 Mazda CX-30 Premium Package	2023	33435	Scott Mazda
2023 Mazda CX-30 Premium Package	2023	32625	Scott Mazda
2023 Mazda CX-30 Premium Package	2023	33255	Scott Mazda
2023 Mazda CX-30 Premium Package	2023	32875	Piazza Mazda of Reading
2023 Mazda CX-30 Premium Package	2023	33085	Piazza Mazda of Reading
2023 Mazda CX-30 Premium Package	2023	32875	Piazza Mazda of Reading
2023 Mazda CX-30 Premium Package	2023	33405	Chapman Auto Store of EHT, NJ
2023 Mazda CX-30 Premium Package	2023	33540	Koch 33 Mazda
2023 Mazda CX-30 Premium Package	2023	32830	Koch 33 Mazda
2023 Mazda CX-30 Premium Package	2023	34005	Pine Belt Mazda
2023 Mazda CX-30 Premium Package	2023	33605	Empire Mazda of Green Brook
2023 Mazda CX-30 Premium Package	2023	32875	Empire Mazda of Green Brook
2023 Mazda CX-30 Premium Package	2023	33175	Empire Mazda of Green Brook
2023 Mazda CX-30 Premium Package	2023	33470	Empire Mazda of Green Brook
2023 Mazda CX-30 Premium Package	2023	31136	Heritage Mazda Bel Air
2023 Mazda CX-30 Premium Package	2023	33385	Wayne Mazda
2023 Mazda CX-30 Premium Package	2023	31741	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31679	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	32159	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31555	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31729	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31477	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31417	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31777	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	32179	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31028	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	31827	Heritage Mazda Towson
2023 Mazda CX-30 Premium Package	2023	33640	Koeppel Mazda
2023 Mazda CX-30 Premium Package	2023	32865	Koeppel Mazda
